GEO.id,FIPS,GEO.display-label,HD01_VD01,,HD01_VD02,HD01_VD02A,HD01_VD03,HD01_VD03A,HD01_VD04,HD01_VD04A,HD01_VD05,HD01_VD05A,HD01_VD06,HD01_VD06A,HD01_VD07,HD01_VD07A,HD01_VD08,HD01_VD08A,HD01_VD09,HD01_VD09A,HD01_VD10,HD01_VD10A
Id,Id2,Geography,Estimate; Total:,,Estimate; Total: - White alone,White,Estimate; Total: - Black or African American alone,Black,Estimate; Total: - American Indian and Alaska Native alone,American Indian or Alaskan Native,Estimate; Total: - Asian alone,,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,,Estimate; Total: - Some other race alone,,Estimate; Total: - Two or more races:,,Estimate; Total: - Two or more races: - Two races including Some other race,,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races",
0500000US51001,51001,"Accomack County, Virginia",33165,,22736,68.55,9495,28.62,105,0.316598824,36,0.108548168,0,0,308,0.928689884,485,1.462385044,9,0.027137042,476,1.435248002
0500000US51003,51003,"Albemarle County, Virginia",101883,,83125,81.58,9616,9.43,279,0.273843526,4415,4.33340204,20,0.01963036,1283,1.259287614,3145,3.08687416,265,0.260102274,2880,2.826771885
0500000US51005,51005,"Alleghany County, Virginia",16133,,15053,93.3,813,5.03,2,0.01239695,55,0.340916135,5,0.030992376,19,0.117771028,186,1.152916383,25,0.154961879,161,0.997954503
0500000US51007,51007,"Amelia County, Virginia",12764,,9258,72.53,3184,24.94,61,0.477906612,14,0.109683485,12,0.094014416,62,0.485741147,173,1.355374491,80,0.62676277,93,0.72861172
0500000US51009,51009,"Amherst County, Virginia",32237,,24770,76.83,6001,18.61,256,0.794118559,236,0.732078047,16,0.04963241,260,0.806526662,698,2.165213885,18,0.055836461,680,2.109377423
0500000US51011,51011,"Appomattox County, Virginia",15137,,11673,77.11,3023,19.97,44,0.29067847,24,0.158551893,0,0,76,0.502080994,297,1.962079672,17,0.112307591,280,1.849772082
0500000US51013,51013,"Arlington County, Virginia",220173,,158046,71.78,18354,8.33,1190,0.540484074,21399,9.719175376,213,0.096742107,13711,6.227375745,7260,3.297407039,1470,0.667656797,5790,2.629750242
0500000US51015,51015,"Augusta County, Virginia",73707,,68577,93.04,3029,4.1,187,0.253707246,421,0.571180485,35,0.047485313,757,1.027039494,701,0.951062993,64,0.086830287,637,0.864232705
0500000US51017,51017,"Bath County, Virginia",4644,,4260,91.73,275,5.92,0,0,0,0,0,0,1,0.021533161,108,2.325581395,0,0,108,2.325581395
0500000US51019,51019,"Bedford County, Virginia",75607,,68143,90.12,5257,6.95,125,0.165328607,887,1.173171796,23,0.030420464,144,0.190458555,1028,1.359662465,66,0.087293505,962,1.272368961
0500000US51021,51021,"Bland County, Virginia",6727,,6402,95.16,302,4.48,0,0,0,0,2,0.029730935,0,0,21,0.312174818,0,0,21,0.312174818
0500000US51023,51023,"Botetourt County, Virginia",33105,,31172,94.16,1242,3.75,90,0.271862256,42,0.126869053,0,0,149,0.450083069,410,1.238483613,35,0.105724211,375,1.132759402
0500000US51025,51025,"Brunswick County, Virginia",16961,,7072,41.69,9564,56.38,53,0.312481575,7,0.041271151,0,0,81,0.477566181,184,1.084841696,32,0.188668121,152,0.896173575
0500000US51027,51027,"Buchanan County, Virginia",23683,,22760,96.1,549,2.31,4,0.016889752,215,0.907824178,0,0,62,0.261791158,93,0.392686737,0,0,93,0.392686737
0500000US51029,51029,"Buckingham County, Virginia",17072,,10627,62.24,5917,34.65,7,0.041002812,40,0.234301781,4,0.023430178,124,0.72633552,353,2.067713215,13,0.076148079,340,1.991565136
0500000US51031,51031,"Campbell County, Virginia",54833,,45000,82.06,7542,13.75,113,0.20608028,444,0.809731366,26,0.047416702,389,0.709426805,1319,2.405485748,90,0.164134736,1229,2.241351011
0500000US51033,51033,"Caroline County, Virginia",29057,,19323,66.5,8463,29.12,165,0.567849399,201,0.691743814,0,0,232,0.798430671,673,2.316137247,30,0.103245345,643,2.212891902
0500000US51035,51035,"Carroll County, Virginia",29881,,29203,97.73,247,0.82,27,0.090358422,34,0.113784679,0,0,31,0.103744855,339,1.134500184,110,0.368126903,229,0.766373281
0500000US51036,51036,"Charles City County, Virginia",7154,,3001,41.94,3471,48.51,475,6.639642158,18,0.251607492,6,0.083869164,10,0.13978194,173,2.418227565,2,0.027956388,171,2.390271177
