,Id,Id2,FIPS,,White,Black,American_Indian_and_Alaska_Native,Asian,Asian_Indian,Japanese,Korean,Vietnamese,Other_Asian,Hispanic_or_Latino,Mexican,Puerto_Rican,Cuban,Other_Hispanic_or_Latino
2,1400000US11001000100,11001000100,Census Tract 1,,91.3,0.8,0.3,5.8,0.8,0.6,0.6,0.3,1.6,7.7,1.6,0.4,0,5.7
3,1400000US11001000201,11001000201,Census Tract 2.01,,71.2,10.5,0,13.4,1.7,0.2,3.1,0,0.9,7,1.1,0.3,1.9,3.7
4,1400000US11001000202,11001000202,Census Tract 2.02,,88,3.8,0.2,5.1,0.6,0.1,0.3,1.2,0.7,5.1,0.6,0.3,0.4,3.8
5,1400000US11001000300,11001000300,Census Tract 3,,86.8,1.2,1,6.5,0.7,0.3,1.5,0.3,0.8,8.2,1.1,0.8,0.7,5.7
6,1400000US11001000400,11001000400,Census Tract 4,,80.8,6.1,0,7.9,0,0.3,1.4,0,2.8,14.2,0.3,0,0,13.9
7,1400000US11001000501,11001000501,Census Tract 5.01,,82.8,3.8,3.7,5.4,1.3,0.5,0.9,0,1.2,11.2,6.8,1.6,0,2.8
8,1400000US11001000502,11001000502,Census Tract 5.02,,86.1,3.8,0,5.1,1,0,0.3,0,0.7,9.3,0.6,0.7,0,7.9
9,1400000US11001000600,11001000600,Census Tract 6,,81.2,9.1,0,6.1,3.7,0,0,0,0.8,9.7,1.1,0.3,1.7,6.6
10,1400000US11001000701,11001000701,Census Tract 7.01,,83.4,3.5,0,7.3,0.9,2.4,0.3,0.9,0.3,5.4,1.3,0.6,0,3.6
11,1400000US11001000702,11001000702,Census Tract 7.02,,81,5.4,0.6,6.3,0.4,0,0.8,0,1.4,10.7,2.9,1.9,0.4,5.4
12,1400000US11001000801,11001000801,Census Tract 8.01,,80.4,6.4,0.2,4.8,0.3,0.7,0.8,0.1,0.2,9.7,0.5,0.5,1.8,6.9
13,1400000US11001000802,11001000802,Census Tract 8.02,,80.5,8.1,0,5.4,1.4,0.3,0,0,0.3,12.7,2.6,3.1,0.5,6.6
